time_step,SI,S2,S3,SY1_G,SY1_L,SY2_G,SY2_L,SY3_G,SY3L,BawY,BY_G,BY_L
0,0.526519,0.526519,0.526519,0,0.000526519,0,0.000526519,0,0.000526519,10.5304,0,0.0105304
1,2.53289,0.482377,2.53289,0,0.00253289,0,0.000482377,0,0.00253289,9.64753,0,0.00964753
2,3.68777,0.463855,3.68777,0,0.00368777,0,0.000463855,0,0.00368777,8.22735,0,0.00822735
3,3.93492,6.90833,3.93492,0,0.00393492,0,0.00690833,0,0.00393492,6.90833,0,0.00690833
4,4.59026,5.97678,4.59026,0,0.00459026,0,0.00597678,0,0.00459026,5.97678,0,0.00597678
5,5.05326,5.65302,5.05326,0,0.00505326,0,0.00565302,0,0.00505326,5.65302,0,0.00565302
6,5.5324,5.84713,5.5324,0,0.0055324,0,0.00584713,0,0.0055324,5.84713,0,0.00584713
7,6.00226,6.00226,6.00226,0,0.00600226,0,0.00600226,0,0.00600226,6.00226,0,0.00600226
8,6.3717,6.3717,6.3717,0,0.0063717,0,0.0063717,0,0.0063717,6.3717,0,0.0063717
9,5.31454,5.31454,5.31454,0,0.00531454,0,0.00531454,0,0.00531454,5.31454,0,0.00531454
10,8.78264,8.78264,8.78264,0,0.00878264,0,0.00878264,0,0.00878264,8.78264,0,0.00878264
11,6.54714,6.54714,6.54714,0,0.00654714,0,0.00654714,0,0.00654714,6.54714,0,0.00654714
12,6.60906,6.60906,6.60906,0,0.00660906,0,0.00660906,0,0.00660906,6.60906,0,0.00660906
13,4.63103,4.45615,4.45615,0,0.00463103,0,0.00445615,0,0.00445615,4.45615,0,0.00445615
14,7.81277,7.9706,7.9706,0,0.00781277,0,0.0079706,0,0.0079706,7.9706,0,0.0079706
15,12.1755,12.1755,12.1755,0,0.0121755,0,0.0121755,0,0.0121755,12.1755,0,0.0121755
16,13.6833,13.6833,13.6833,0,0.0136833,0,0.0136833,0,0.0136833,13.6833,0,0.0136833
17,16.4584,16.4584,16.4584,0,0.0164584,0,0.0164584,0,0.0164584,16.4584,0,0.0164584
18,17.052,17.052,17.052,0,0.017052,0,0.017052,0,0.017052,17.052,0,0.017052
19,16.2966,16.2966,16.2966,0,0.0162966,0,0.0162966,0,0.0162966,16.2966,0,0.0162966
20,15.4632,15.4632,15.4632,0,0.0154632,0,0.0154632,0,0.0154632,15.4632,0,0.0154632
21,13.9621,13.9621,13.9621,0,0.0139621,0,0.0139621,0,0.0139621,13.9621,0,0.0139621
22,12.3043,12.3043,12.3043,0,0.0123043,0,0.0123043,0,0.0123043,12.3043,0,0.0123043
23,10.1047,10.1047,10.1047,0,0.0101047,0,0.0101047,0,0.0101047,10.1047,0,0.0101047
24,8.019,8.019,8.019,0,0.008019,0,0.008019,0,0.008019,8.019,0,0.008019
25,6.47516,6.47516,6.47516,0,0.00647516,0,0.00647516,0,0.00647516,6.47516,0,0.00647516
26,5.52786,5.52786,5.52786,0,0.00552786,0,0.00552786,0,0.00552786,5.52786,0,0.00552786
27,5.20336,5.20336,5.20336,0,0.00520336,0,0.00520336,0,0.00520336,5.20336,0,0.00520336
28,5.24907,5.24907,5.24907,0,0.00524907,0,0.00524907,0,0.00524907,5.24907,0,0.00524907
29,5.41395,5.41395,5.41395,0,0.00541395,0,0.00541395,0,0.00541395,5.41395,0,0.00541395
30,6.71573,6.71573,6.71573,0,0.00671573,0,0.00671573,0,0.00671573,6.71573,0,0.00671573
31,8.2813,8.2813,8.2813,0,0.0082813,0,0.0082813,0,0.0082813,8.2813,0,0.0082813
32,8.7114,8.7114,8.7114,0,0.0087114,0,0.0087114,0,0.0087114,8.7114,0,0.0087114
33,8.37737,8.37737,8.37737,0,0.00837737,0,0.00837737,0,0.00837737,8.37737,0,0.00837737
34,7.19182,7.19182,7.19182,0,0.00719182,0,0.00719182,0,0.00719182,7.19182,0,0.00719182
35,3.77074,3.62934,3.62934,0,0.00377074,0,0.00362934,0,0.00362934,3.62934,0,0.00362934
36,6.50638,6.63399,6.63399,0,0.00650638,0,0.00663399,0,0.00663399,6.63399,0,0.00663399
37,8.12751,8.12751,8.12751,0,0.00812751,0,0.00812751,0,0.00812751,8.12751,0,0.00812751
38,9.29927,9.29927,9.29927,0,0.00929927,0,0.00929927,0,0.00929927,9.29927,0,0.00929927
39,10.2358,10.2358,10.2358,0,0.0102358,0,0.0102358,0,0.0102358,10.2358,0,0.0102358
40,11.9101,11.9101,11.9101,0,0.0119101,0,0.0119101,0,0.0119101,11.9101,0,0.0119101
41,16.6548,16.6548,16.6548,0,0.0166548,0,0.0166548,0,0.0166548,16.6548,0,0.0166548
42,17.1809,17.1809,17.1809,0,0.0171809,0,0.0171809,0,0.0171809,17.1809,0,0.0171809
43,16.1594,16.1594,16.1594,0,0.0161594,0,0.0161594,0,0.0161594,16.1594,0,0.0161594
44,14.8606,14.8606,14.8606,0,0.0148606,0,0.0148606,0,0.0148606,14.8606,0,0.0148606
45,13.5596,13.5596,13.5596,0,0.0135596,0,0.0135596,0,0.0135596,13.5596,0,0.0135596
46,12.0053,12.0053,12.0053,0,0.0120053,0,0.0120053,0,0.0120053,12.0053,0,0.0120053
47,10.2943,10.2943,10.2943,0,0.0102943,0,0.0102943,0,0.0102943,10.2943,0,0.0102943
48,8.14566,8.14566,8.14566,0,0.00814566,0,0.00814566,0,0.00814566,8.14566,0,0.00814566
49,6.4137,6.4137,6.4137,0,0.0064137,0,0.0064137,0,0.0064137,6.4137,0,0.0064137
50,5.57358,5.57358,5.57358,0,0.00557358,0,0.00557358,0,0.00557358,5.57358,0,0.00557358
51,5.29779,5.29779,5.29779,0,0.00529779,0,0.00529779,0,0.00529779,5.29779,0,0.00529779
52,5.18162,5.18162,5.18162,0,0.00518162,0,0.00518162,0,0.00518162,5.18162,0,0.00518162
53,5.45292,5.45292,5.45292,0,0.00545292,0,0.00545292,0,0.00545292,5.45292,0,0.00545292
54,6.64828,6.64828,6.64828,0,0.00664828,0,0.00664828,0,0.00664828,6.64828,0,0.00664828
55,8.08463,8.08463,8.08463,0,0.00808463,0,0.00808463,0,0.00808463,8.08463,0,0.00808463
56,7.29401,7.29401,7.29401,0,0.00729401,0,0.00729401,0,0.00729401,7.29401,0,0.00729401
57,4.99851,4.99851,4.99851,0,0.00499851,0,0.00499851,0,0.00499851,4.99851,0,0.00499851
58,1.7915,0,0,0,0.0017915,0,0,0,0,-1.07857,0.00107857,0
59,0.962614,0,0,0,0.000962614,0,0,0,0,-4.86027,0.00486027,0
