"time_step,me,e,d,S1_G,S1_L,S2_G,S2_L,l,S3_G,S3_L,B_gen,B_L"
"0,7.801,0.39005,0.39005,0,0.00039005,0,0.00039005,0.39005,0,0.00039005,0,0.007801"
"1,6.371,0.91515,0.31855,0,0.00091515,0,0.00031855,0.91515,0,0.00091515,0,0.006371"
"2,5.206,1.47345,0.2603,0,0.00147345,0,0.0002603,1.47345,0,0.00147345,0,0.005206"
"3,5.548,1.98075,0.2774,0,0.00198075,0,0.0002774,1.98075,0,0.00198075,0,0.005548"
"4,5.331,3.44715,2.0782,0,0.00344715,0,0.0020782,3.44715,0,0.00344715,0,0.005331"
"5,1.368,1.88475,1.368,0,0.00188475,0,0.001368,0.991445,0,0.000991445,0,0.001368"
"6,0.97,1.74255,0.97,0,0.00174255,0,0.00097,0.684839,0,0.000684839,0,0.00097"
"7,-1.888,1.80993,0,0,0.00180993,0,0,0,0,0,0.001888,0"
"8,-15.654,-1.8994,0,0.0018994,0,0,0,0,0,0,0.015654,0"
"9,-23.079,-4.57027,0,0.00457027,0,0,0,-6.807,0.006807,0,0.023079,0"
"10,-13.635,-6.1896,0,0.0061896,0,0,0,-5.13423,0.00513423,0,0.013635,0"
"11,-18.011,-12.167,-3.4042,0.012167,0,0.0034042,0,-9.31853,0.00931853,0,0.018011,0"
"12,-45.87,-38.9805,-45.1397,0.0389805,0,0.0451397,0,-36.8455,0.0368455,0,0.04587,0"
"13,-49.793,-44.1636,-49.7565,0.0441636,0,0.0497565,0,-46.7149,0.0467149,0,0.049793,0"
"14,-39.647,-38.162,-39.6452,0.038162,0,0.0396452,0,-38.7528,0.0387528,0,0.039647,0"
"15,-33.293,-33.2188,-33.2929,0.0332188,0,0.0332929,0,-32.7875,0.0327875,0,0.033293,0"
"16,-7.63792,-12.9809,-7.63792,0.0129809,0,0.00763792,0,-7.41832,0.00741832,0,0.00763792,0"
"17,-5.817,-8.16236,-5.817,0.00816236,0,0.005817,0,-5.72106,0.00572106,0,0.005817,0"
"18,-1.426,-1.84179,-1.426,0.00184179,0,0.001426,0,-1.35942,0.00135942,0,0.001426,0"
"19,0.321,-0.2948,0.01605,0.0002948,0,0,0.00001605,0.01605,0,0.00001605,0,0.000321"
"20,14.1,4.3283,0.705,0,0.0043283,0,0.000705,3.9702,0,0.0039702,0,0.0141"
"21,3.364,0.51495,0.1682,0,0.00051495,0,0.0001682,0.51495,0,0.00051495,0,0.003364"
